hidden_j,mean_abs_w,max_abs_w,n_outputs,n_cell_edges_seen,top_i_in,top_cell_scores
18,0.24897771142423153,0.6578760147094727,10,3,"8,4,9","0.3467,0.2936,0.2869"
2,0.21482272073626518,0.4403497278690338,10,2,"4,9","0.3365,0.2966"
14,0.21179737978511387,0.6988282799720764,9,1,8,0.3964
7,0.2111855648458004,0.3749488890171051,10,0,,
15,0.19633066793903708,0.7006396055221558,8,1,8,0.4364
9,0.19477810990065336,0.43483516573905945,8,2,"4,9","0.3459,0.2845"
0,0.17948143165558578,0.3519941568374634,10,0,,
16,0.17592786335282856,0.3440897762775421,9,0,,
21,0.1741135757830408,0.3118041455745697,9,1,6,0.2774
1,0.17284761220216752,0.33823513984680176,10,0,,
17,0.16842258804374272,0.42732521891593933,9,2,"6,8","0.3739,0.2889"
5,0.16814983636140823,0.41972461342811584,8,1,6,0.3343
