feature,importance_mean,importance_std,model
8,2.55,0.29221674318902396,seqKAN
2,2.025,0.44123406486806976,seqKAN
7,0.3625,0.06123724356957945,seqKAN
3,0.2875,0.08244316223920574,seqKAN
1,0.1125,0.05796011559684815,seqKAN
10,0.00625,0.023385358667337135,seqKAN
5,-0.2,0.10569709078304852,seqKAN
0,-0.99375,0.3012992698298488,seqKAN
9,-1.425,0.17962634828999893,seqKAN
4,-2.36875,0.4720301897124801,seqKAN
6,-2.7125,0.41523713104682725,seqKAN
2,0.9,0.11924240017711821,GRU
0,-0.2375,0.5353153276340964,GRU
8,-0.35625,0.15885331283923543,GRU
9,-0.8,0.08970437559004577,GRU
3,-0.8125,0.11353688827865593,GRU
1,-0.8375,0.0914296177395487,GRU
5,-0.96875,0.1383496476323666,GRU
4,-2.05,0.26413183261394296,GRU
10,-3.0125,0.3865916773548029,GRU
7,-3.05625,0.2762754513162543,GRU
6,-3.175,0.8430784364458623,GRU
