output_m,rank,hidden_j,abs_w
0,1,1,0.20395438373088837
0,2,18,0.1891559362411499
0,3,6,0.18421494960784912
0,4,11,0.17447903752326965
0,5,0,0.1698179692029953
0,6,8,0.16907446086406708
0,7,2,0.14994491636753082
0,8,3,0.1442757546901703
0,9,13,0.12917207181453705
0,10,7,0.12012256681919098
0,11,4,0.11772773414850235
0,12,5,0.11284541338682175
0,13,17,0.09056910127401352
0,14,20,0.09002860635519028
0,15,10,0.08154618740081787
0,16,16,0.07313252240419388
0,17,22,0.063164621591568
0,18,14,0.05805324763059616
0,19,19,0.047403059899806976
0,20,21,0.045534975826740265
1,1,21,0.19681422412395477
1,2,22,0.1915203481912613
1,3,23,0.18366818130016327
1,4,3,0.18306034803390503
1,5,7,0.18297474086284637
1,6,8,0.16589440405368805
1,7,10,0.13178355991840363
1,8,1,0.11936883628368378
1,9,14,0.11257064342498779
1,10,5,0.09888175874948502
1,11,15,0.09856284409761429
1,12,17,0.0756445899605751
1,13,4,0.07302279770374298
1,14,6,0.0717078447341919
1,15,16,0.0627148374915123
1,16,9,0.04831415414810181
1,17,12,0.031876612454652786
1,18,18,0.02374764159321785
1,19,19,0.019558995962142944
1,20,0,0.018164200708270073
2,1,15,0.7006396055221558
2,2,14,0.6988282799720764
2,3,18,0.6578760147094727
2,4,17,0.42732521891593933
2,5,5,0.41972461342811584
2,6,0,0.3519941568374634
2,7,1,0.33823513984680176
2,8,8,0.28764116764068604
2,9,2,0.27411630749702454
2,10,4,0.2484884411096573
2,11,16,0.19329801201820374
2,12,9,0.19221113622188568
2,13,7,0.19061024487018585
2,14,19,0.17351895570755005
2,15,3,0.16814036667346954
2,16,23,0.15286903083324432
2,17,13,0.13204923272132874
2,18,11,0.10863379389047623
2,19,20,0.10545235127210617
2,20,6,0.09978316724300385
3,1,7,0.20292241871356964
3,2,19,0.20126721262931824
3,3,16,0.1902807503938675
3,4,20,0.18863755464553833
3,5,0,0.17140287160873413
3,6,11,0.1707138568162918
3,7,17,0.16210797429084778
3,8,21,0.15050843358039856
3,9,14,0.14596927165985107
3,10,9,0.14591950178146362
3,11,2,0.14388318359851837
3,12,22,0.12052633613348007
3,13,13,0.11252637952566147
3,14,3,0.10793574154376984
3,15,12,0.08705656230449677
3,16,4,0.08220650255680084
3,17,8,0.07733306288719177
3,18,1,0.0753936842083931
3,19,10,0.05909661948680878
3,20,18,0.04462186247110367
4,1,6,0.45456281304359436
4,2,9,0.43483516573905945
4,3,2,0.4229635000228882
4,4,18,0.37683022022247314
4,5,7,0.3720760941505432
4,6,0,0.3491663634777069
4,7,16,0.3440897762775421
4,8,19,0.22813230752944946
4,9,4,0.20492736995220184
4,10,8,0.20065221190452576
4,11,22,0.19409061968326569
4,12,15,0.15224070847034454
4,13,10,0.14149247109889984
4,14,17,0.1395939439535141
4,15,11,0.13559278845787048
4,16,3,0.12559761106967926
4,17,12,0.12391657382249832
4,18,20,0.11606436222791672
4,19,14,0.11313622444868088
4,20,1,0.11146560311317444
5,1,8,0.20406106114387512
5,2,1,0.1992100030183792
5,3,12,0.19445282220840454
5,4,2,0.17920587956905365
5,5,14,0.1718122661113739
5,6,20,0.15789160132408142
5,7,0,0.15563154220581055
5,8,7,0.15478207170963287
5,9,13,0.1439460813999176
5,10,21,0.13926589488983154
5,11,18,0.13873207569122314
5,12,6,0.11960835009813309
5,13,23,0.10195240378379822
5,14,17,0.10163740813732147
5,15,3,0.10033702850341797
5,16,9,0.09538087993860245
5,17,11,0.08936004340648651
5,18,10,0.0777137354016304
5,19,4,0.07500636577606201
5,20,5,0.06667070835828781
6,1,3,0.3899388015270233
6,2,22,0.38194820284843445
6,3,17,0.35016515851020813
6,4,16,0.33489423990249634
6,5,21,0.3118041455745697
6,6,4,0.29978814721107483
6,7,15,0.28762388229370117
6,8,2,0.2695772349834442
6,9,1,0.2644297182559967
6,10,7,0.2627130448818207
6,11,18,0.25423464179039
6,12,14,0.2497420608997345
6,13,20,0.2406659871339798
6,14,10,0.18349143862724304
6,15,13,0.13084661960601807
6,16,23,0.12751218676567078
6,17,19,0.12082786113023758
6,18,6,0.10376636683940887
6,19,0,0.09296858310699463
6,20,8,0.05577610433101654
7,1,14,0.19233635067939758
7,2,0,0.1848611682653427
7,3,18,0.17546187341213226
7,4,4,0.16516119241714478
7,5,10,0.15991640090942383
7,6,22,0.1512622833251953
7,7,16,0.1457366645336151
7,8,21,0.13986870646476746
7,9,8,0.1312444806098938
7,10,5,0.12288517504930496
7,11,3,0.11968624591827393
7,12,20,0.1165940910577774
7,13,17,0.11482343822717667
7,14,19,0.10779015719890594
7,15,23,0.10476143658161163
7,16,2,0.080293670296669
7,17,6,0.07640472054481506
7,18,11,0.06950103491544724
7,19,12,0.06189535930752754
7,20,15,0.05883143097162247
8,1,21,0.20385625958442688
8,2,1,0.1771327406167984
8,3,18,0.1677205115556717
8,4,23,0.16218586266040802
8,5,4,0.1613776683807373
8,6,7,0.15326997637748718
8,7,0,0.15172642469406128
8,8,10,0.14190620183944702
8,9,5,0.13471263647079468
8,10,8,0.12571540474891663
8,11,2,0.10937869548797607
8,12,3,0.1067485362291336
8,13,9,0.10182373225688934
8,14,22,0.09772662818431854
8,15,15,0.08679535984992981
8,16,12,0.08226658403873444
8,17,20,0.08061078935861588
8,18,19,0.06932831555604935
8,19,17,0.05393645912408829
8,20,6,0.05347351357340813
9,1,18,0.46139633655548096
9,2,2,0.4403497278690338
9,3,9,0.3753179609775543
9,4,7,0.3749488890171051
9,5,23,0.348177045583725
9,6,4,0.268019437789917
9,7,6,0.26324978470802307
9,8,13,0.2610279619693756
9,9,5,0.2592495381832123
9,10,10,0.24688993394374847
9,11,12,0.24308763444423676
9,12,19,0.19900670647621155
9,13,21,0.1951163411140442
9,14,3,0.16781598329544067
9,15,0,0.1490810364484787
9,16,15,0.12888532876968384
9,17,1,0.11659424006938934
9,18,22,0.10619265586137772
9,19,11,0.07189006358385086
9,20,16,0.07186499983072281
10,1,3,0.20283715426921844
10,2,10,0.20264849066734314
10,3,21,0.18425320088863373
10,4,16,0.16733896732330322
10,5,9,0.16442234814167023
10,6,14,0.16372807323932648
10,7,8,0.16298127174377441
10,8,6,0.1338898241519928
10,9,5,0.13022884726524353
10,10,20,0.12945787608623505
10,11,1,0.12269177287817001
10,12,7,0.0974356010556221
10,13,23,0.09256797283887863
10,14,22,0.08845692873001099
10,15,13,0.08796583116054535
10,16,4,0.08585657924413681
10,17,12,0.08494039624929428
10,18,2,0.07851409167051315
10,19,15,0.0570661835372448
10,20,11,0.04807218164205551
