x,f_ij,contrib_m
-3.0,-0.14839542,0.063413106
-2.982808022922636,-0.15450187,0.066022545
-2.9656160458452723,-0.16070823,0.06867468
-2.9484240687679084,-0.16700783,0.07136666
-2.9312320916905446,-0.17339452,0.07409585
-2.9140401146131807,-0.1798616,0.0768594
-2.896848137535817,-0.18640284,0.079654634
-2.8796561604584525,-0.19301188,0.08247884
-2.8624641833810887,-0.19968207,0.08532918
-2.845272206303725,-0.20640716,0.08820298
-2.828080229226361,-0.21318074,0.091097504
-2.810888252148997,-0.21999626,0.09400995
-2.793696275071633,-0.22684743,0.09693763
-2.7765042979942693,-0.2337277,0.09987774
-2.7593123209169055,-0.24063075,0.102827586
-2.7421203438395416,-0.24755022,0.10578445
-2.7249283667621778,-0.2544795,0.10874551
-2.707736389684814,-0.2614123,0.11170807
-2.69054441260745,-0.26834226,0.11466941
-2.673352435530086,-0.27526277,0.11762673
-2.656160458452722,-0.28216758,0.12057733
-2.638968481375358,-0.28905016,0.12351842
-2.621776504297994,-0.29590413,0.12644729
-2.6045845272206303,-0.30272317,0.12936124
-2.5873925501432664,-0.30950063,0.13225743
-2.5702005730659025,-0.31623033,0.13513319
-2.5530085959885387,-0.32290575,0.13798577
-2.535816618911175,-0.32952037,0.14081237
-2.518624641833811,-0.33606806,0.14361036
-2.501432664756447,-0.342542,0.14637683
-2.4842406876790832,-0.34893605,0.14910917
-2.467048710601719,-0.3552438,0.15180464
-2.4498567335243555,-0.3614586,0.15446037
-2.432664756446991,-0.36757424,0.15707375
-2.4154727793696273,-0.37358424,0.15964197
-2.3982808022922635,-0.37948215,0.16216229
-2.3810888252148996,-0.3852617,0.16463205
-2.3638968481375358,-0.39091623,0.16704836
-2.346704871060172,-0.39643946,0.16940857
-2.329512893982808,-0.40182498,0.17170995
-2.312320916905444,-0.4070663,0.17394969
-2.2951289398280803,-0.4121571,0.17612512
-2.2779369627507164,-0.4170908,0.17823341
-2.2607449856733526,-0.4218611,0.1802719
-2.2435530085959883,-0.4264617,0.18223783
-2.226361031518625,-0.4308878,0.18412922
-2.2091690544412605,-0.4351375,0.18594523
-2.1919770773638967,-0.43920907,0.18768512
-2.174785100286533,-0.4431004,0.18934797
-2.157593123209169,-0.4468099,0.19093314
-2.140401146131805,-0.45033535,0.19243966
-2.1232091690544412,-0.4536752,0.19386686
-2.1060171919770774,-0.45682743,0.19521388
-2.0888252148997135,-0.45979032,0.19648
-2.0716332378223496,-0.46256188,0.19766435
-2.054441260744986,-0.4651404,0.19876623
-2.037249283667622,-0.46752387,0.19978474
-2.0200573065902576,-0.46971047,0.20071913
-2.002865329512894,-0.47169834,0.2015686
-1.9856733524355301,-0.4734857,0.20233238
-1.9684813753581663,-0.4750706,0.20300965
-1.9512893982808022,-0.47645122,0.20359962
-1.9340974212034383,-0.47762573,0.20410152
-1.9169054441260744,-0.47859222,0.20451452
-1.8997134670487106,-0.47934887,0.20483786
-1.8825214899713467,-0.4798938,0.20507072
-1.8653295128939829,-0.48022515,0.20521231
-1.848137535816619,-0.4803411,0.20526187
-1.830945558739255,-0.48023972,0.20521854
-1.813753581661891,-0.47991922,0.20508158
-1.7965616045845272,-0.4793777,0.20485018
-1.7793696275071633,-0.47861332,0.20452353
-1.7621776504297995,-0.47762418,0.20410086
-1.7449856733524356,-0.47640854,0.20358138
-1.7277936962750715,-0.47496432,0.20296423
-1.7106017191977076,-0.47328994,0.20224872
-1.6934097421203438,-0.4713834,0.20143402
-1.67621776504298,-0.4692428,0.2005193
-1.659025787965616,-0.46686623,0.1995037
-1.6418338108882522,-0.46425208,0.19838662
-1.6246418338108883,-0.46139833,0.19716714
-1.6074498567335243,-0.4583031,0.19584447
-1.5902578796561604,-0.45496452,0.19441782
-1.5730659025787965,-0.45138085,0.19288643
-1.5558739255014327,-0.44755018,0.19124947
-1.5386819484240688,-0.4434706,0.18950617
-1.521489971346705,-0.4391402,0.18765569
-1.5042979942693409,-0.43455732,0.1856973
-1.487106017191977,-0.42972064,0.18363047
-1.4699140401146131,-0.42463613,0.18145773
-1.4527220630372493,-0.41931283,0.17918295
-1.4355300859598854,-0.41376,0.17681009
-1.4183381088825215,-0.40798694,0.17434311
-1.4011461318051575,-0.40200293,0.171786
-1.3839541547277936,-0.39581716,0.16914265
-1.3667621776504297,-0.38943875,0.166417
-1.3495702005730659,-0.38287708,0.16361304
-1.332378223495702,-0.3761415,0.16073474
-1.3151862464183381,-0.36924112,0.15778604
-1.2979942693409743,-0.36218506,0.1547708
-1.2808022922636102,-0.3549828,0.1516931
-1.2636103151862463,-0.3476435,0.14855683
-1.2464183381088825,-0.34017634,0.14536592
-1.2292263610315186,-0.3325906,0.14212435
-1.2120343839541547,-0.32489553,0.13883606
-1.1948424068767909,-0.31710047,0.13550502
-1.1776504297994268,-0.30921456,0.13213518
-1.160458452722063,-0.30124697,0.12873043
-1.143266475644699,-0.29320708,0.12529477
-1.1260744985673352,-0.28510413,0.121832184
-1.1088825214899714,-0.2769473,0.118346564
-1.0916905444126075,-0.2687458,0.11484186
-1.0744985673352434,-0.26050898,0.11132206
-1.0573065902578795,-0.25224608,0.10779111
-1.0401146131805157,-0.24396622,0.10425292
-1.0229226361031518,-0.23567875,0.10071147
-1.005730659025788,-0.22739288,0.09717071
-0.9885386819484241,-0.21911786,0.09363459
-0.9713467048710602,-0.21086295,0.09010705
-0.9541547277936964,-0.2026374,0.08659207
-0.9369627507163325,-0.1944504,0.083093554
-0.9197707736389686,-0.18631124,0.079615496
-0.9025787965616043,-0.17822914,0.0761618
-0.8853868194842405,-0.17021339,0.07273647
-0.8681948424068766,-0.16227318,0.069343425
-0.8510028653295127,-0.15441777,0.0659866
-0.8338108882521489,-0.14665641,0.062669985
-0.816618911174785,-0.13899837,0.05939751
-0.7994269340974212,-0.13145283,0.05617311
-0.7822349570200573,-0.12402909,0.05300076
-0.7650429799426934,-0.1167364,0.049884405
-0.7478510028653296,-0.10958394,0.04682798
-0.7306590257879657,-0.10257896,0.04383458
-0.7134670487106018,-0.09572312,0.040904906
-0.696275071633238,-0.08901703,0.038039222
-0.6790830945558737,-0.08246143,0.03523785
-0.6618911174785098,-0.07605692,0.03250104
-0.644699140401146,-0.069804214,0.029829102
-0.6275071633237821,-0.06370396,0.02722231
-0.6103151862464182,-0.05775684,0.024680955
-0.5931232091690544,-0.051963497,0.022205312
-0.5759312320916905,-0.046324644,0.019795688
-0.5587392550143266,-0.040840905,0.017452348
-0.5415472779369628,-0.035513,0.0151756
-0.5243553008595989,-0.030341543,0.012965706
-0.507163323782235,-0.025327247,0.010822971
-0.4899713467048712,-0.020470744,0.008747665
-0.47277936962750733,-0.01577273,0.0067400853
-0.455587392550143,-0.011233865,0.004800514
-0.43839541547277916,-0.0068548196,0.0029292372
-0.4212034383954153,-0.0026362718,0.0011265454
-0.40401146131805143,0.001421118,-0.0006072796
-0.38681948424068757,0.0053166854,-0.0022719537
-0.3696275071633237,0.009049753,-0.0038671875
-0.35243553008595985,0.012619642,-0.005392691
-0.335243553008596,0.016025716,-0.006848193
-0.3180515759312321,0.019267268,-0.00823339
-0.30085959885386826,0.022343662,-0.00954801
-0.2836676217765044,0.025254205,-0.010791759
-0.26647564469914053,0.027998233,-0.011964351
-0.24928366762177667,0.030575084,-0.013065504
-0.23209169054441237,0.032984074,-0.014094926
-0.2148997134670485,0.035224546,-0.015052336
-0.19770773638968464,0.037295826,-0.015937448
-0.18051575931232078,0.039197247,-0.016749972
-0.16332378223495692,0.040928148,-0.017489629
-0.14613180515759305,0.04248785,-0.01815613
-0.1289398280802292,0.04387567,-0.01874918
-0.11174785100286533,0.045090966,-0.019268507
-0.09455587392550147,0.04613305,-0.019713815
-0.0773638968481376,0.047001272,-0.020084828
-0.06017191977077374,0.04769493,-0.020381246
-0.04297994269340988,0.048213385,-0.020602796
-0.02578796561604557,0.04855596,-0.020749185
-0.00859598853868171,0.048721977,-0.02082013
0.008595988538682153,0.048710965,-0.020815423
0.025787965616046016,0.04852677,-0.020736713
0.04297994269340988,0.048177585,-0.020587496
0.06017191977077374,0.04767179,-0.020371359
0.0773638968481376,0.04701777,-0.02009188
0.09455587392550147,0.04622388,-0.01975263
0.11174785100286533,0.045298528,-0.019357203
0.1289398280802292,0.04425007,-0.018909171
0.14613180515759305,0.043086894,-0.018412117
0.16332378223495692,0.041817375,-0.01786962
